rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.0 56.0 0.10714286 0.10911256 0.11111111 0.8372093 0.8837209 0.95348835
3 0.0 0.23333332 0.6666667 1.0 55.8 57.0 0.10526316 0.11294259 0.12727273 0.8255814 0.88255817 0.95348835
4 0.0 0.3 0.5 1.0 56.3 58.0 0.10344828 0.1119707 0.12727273 0.8255814 0.88255817 0.95348835
5 0.0 0.3 0.6 1.0 57.0 59.0 0.10169491 0.11056596 0.125 0.8255814 0.8732557 0.95348835
6 0.0 0.3 0.5 1.0 57.5 60.0 0.1 0.10964459 0.125 0.8255814 0.8732557 0.95348835
7 0.0 0.3 0.42857143 1.0 58.0 61.0 0.09836066 0.110387705 0.12280702 0.8255814 0.87325585 0.95348835
8 0.0 0.3 0.5 1.0 58.6 62.0 0.09677419 0.109317675 0.12280702 0.8255814 0.87325585 0.95348835
9 0.0 0.33333334 0.5555556 1.0 58.9 63.0 0.0952381 0.112125576 0.13114753 0.8255814 0.87325585 0.95348835
10 0.0 0.34 0.6 1.0 59.5 64.0 0.09375 0.11433531 0.14516129 0.81395346 0.872093 0.95348835
11 0.09090909 0.34545454 0.54545456 1.0 60.0 64.0 0.09375 0.114966 0.15254237 0.81395346 0.86860466 0.95348835
12 0.083333336 0.3333333 0.5 1.0 60.5 64.0 0.09375 0.113993034 0.15254237 0.81395346 0.86860466 0.95348835
13 0.07692308 0.33076924 0.46153846 1.0 60.9 64.0 0.09375 0.113298856 0.15254237 0.7906977 0.85813963 0.95348835
14 0.14285715 0.33571428 0.5 1.0 61.1 64.0 0.09375 0.111429706 0.15254237 0.7906977 0.8569768 0.95348835
15 0.13333334 0.33333334 0.53333336 1.0 61.5 65.0 0.09375 0.11395047 0.16666667 0.7906977 0.8569768 0.95348835
16 0.125 0.325 0.5 1.0 62.2 66.0 0.092307694 0.1173984 0.16393442 0.7906977 0.8569768 0.95348835
17 0.11764706 0.32941177 0.5294118 1.0 62.4 66.0 0.092307694 0.11875135 0.16393442 0.7906977 0.8569768 0.95348835
18 0.11111111 0.32222226 0.5 1.0 62.8 67.0 0.092307694 0.117900215 0.16393442 0.7790698 0.8500001 0.95348835
19 0.10526316 0.31578946 0.5263158 1.0 63.1 67.0 0.092307694 0.11722354 0.16129032 0.7790698 0.8430233 0.95348835
