rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.2 56.0 0.10714286 0.10870852 0.11111111 0.8372093 0.8848837 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.2 57.0 0.10526316 0.1121309 0.125 0.8372093 0.8860464 0.95348835
4 0.0 0.3 0.5 1.0 56.8 58.0 0.10344828 0.110991195 0.125 0.8372093 0.8860464 0.95348835
5 0.0 0.3 0.6 1.0 57.8 59.0 0.10169491 0.109026216 0.12280702 0.8372093 0.8860464 0.95348835
6 0.0 0.3 0.5 1.0 58.6 60.0 0.1 0.10761676 0.12280702 0.8372093 0.88720924 0.95348835
7 0.0 0.3 0.42857143 1.0 59.4 61.0 0.09836066 0.10778658 0.12068965 0.8372093 0.8872093 0.95348835
8 0.0 0.3 0.5 1.0 60.0 62.0 0.09677419 0.108384475 0.118644066 0.8372093 0.88953495 0.95348835
9 0.0 0.33333334 0.5555556 1.0 60.4 63.0 0.0952381 0.110963665 0.13333334 0.8372093 0.88953495 0.95348835
10 0.0 0.33 0.6 1.0 61.4 64.0 0.09375 0.112436496 0.14285715 0.8372093 0.8930232 0.95348835
11 0.09090909 0.33636364 0.54545456 1.0 61.9 64.0 0.09375 0.11301973 0.14516129 0.8372093 0.89069766 0.95348835
12 0.083333336 0.3333333 0.5 1.0 62.6 65.0 0.092307694 0.11176604 0.14516129 0.8372093 0.89069766 0.95348835
13 0.07692308 0.33076924 0.53846157 1.0 63.2 65.0 0.092307694 0.11083398 0.14516129 0.8372093 0.8872093 0.95348835
14 0.14285715 0.33571428 0.5 1.0 63.5 65.0 0.092307694 0.108843826 0.14516129 0.8372093 0.88953495 0.95348835
15 0.13333334 0.33333334 0.53333336 1.0 64.0 66.0 0.09090909 0.11108782 0.15873016 0.8372093 0.88953495 0.95348835
16 0.125 0.325 0.5 1.0 64.7 67.0 0.08955224 0.114437066 0.15625 0.8372093 0.88953495 0.95348835
17 0.11764706 0.32352942 0.5294118 1.0 64.8 67.0 0.08955224 0.115914285 0.15625 0.8372093 0.8872093 0.95348835
18 0.11111111 0.31666666 0.5 1.0 65.4 68.0 0.0882353 0.11483665 0.15625 0.8372093 0.8872093 0.95348835
19 0.10526316 0.3105263 0.5263158 1.0 65.9 68.0 0.0882353 0.11388502 0.15384616 0.8372093 0.88488376 0.95348835
20 0.1 0.305 0.5 1.0 66.4 69.0 0.08695652 0.11306943 0.15384616 0.8255814 0.883721 0.95348835
21 0.14285715 0.30952382 0.52380955 1.0 66.4 69.0 0.08695652 0.111470506 0.13636364 0.8255814 0.88255817 0.95348835
22 0.13636364 0.31363636 0.5 1.0 67.0 69.0 0.08695652 0.11337061 0.13636364 0.8372093 0.883721 0.95348835
23 0.13043478 0.29999995 0.47826087 1.0 68.0 70.0 0.08695652 0.11321886 0.13235295 0.8372093 0.883721 0.95348835
